hsn_code,description
5403.10.20,"Viscose rayon tyre yarn – 1,833 decitex"
5403.10.90,"Other <br> Other yarn, single:"
5403.32,"-- Of viscose rayon, with a twist exceeding 120 turns per metre"
5403.32.00,"Of viscose rayon, with a twist exceeding 120 turns per meter"
5403.33,of cellulose acetate
5403.33.00,Of cellulose acetate
5403.39,Other
5403.39.10,Cuprammonium rayon
5403.39.90,"Other <br> Other yarn, multiple (folded) or cabled:"
5403.41,of viscose rayon
5403.41.10,Upto 67 decitex
5403.41.20,Of 83 decitex
5403.41.30,"Of 111 decitex, bright"
5403.41.40,"Of 111 decitex, dull"
5403.41.50,"Of 133 decitex, bright"
5403.41.60,"Of 133 decitex, dull"
5403.41.70,"Of 167 decitex, bright"
5403.41.80,"Of 167 decitex, dull"
5403.41.90,Other
5403.42,of cellulose acetate
5403.42.10,"Acetate rayon filament yarn, 83 decitex"
5403.42.20,"Acetate rayon filament yarn, 111 decitex"
5403.42.30,"Acetate rayon filament yarn, 133 decitex"
5403.42.40,"Acetate rayon filament yarn, 167 decitex"
5403.42.50,"Acetate rayon filament yarn, 333 decitex"
5403.42.90,other
5403.49,Other <br> Cuprammonium filament yarn ;
5403.49.11,Of 33 decitex
5403.49.12,Of 44 decitex
5403.49.13,Of 67 decitex
5403.49.14,Of 83 decitex
5403.49.15,Of 89 decitex
5403.49.19,Other
5403.49.90,Other
5404.11,Elastomeric
5404.11.00,Monofilament: Elastomeric
5404.12,"Other, of polypropylene"
5404.12.00,"Other, of Polypropylene"
5404.19,Other
5404.19.10,"Catgut imitation of synthetic yarn,non sterile"
5404.19.20,Strip and the like of syntheitic fibre material
5404.19.90,Other
5404.90,Other
5404.90.10,"Catgut imitation of synthetic yarn, non-sterile"
5404.90.20,Strip and the like of synthetic fibre materials
5404.90.90,Other
5406.00.10,Synthetic filament yarn
5406.00.20,Artificial filament yarn
5407.10.11,Parachute fabric
5407.10.12,Tent fabrics
5407.10.13,Nylon furnishing fabrics
5407.10.14,Umbrella cloth panel fabrics
5407.10.15,Other nylon and polyamide fabrics (filament)
5407.10.16,Polyester suiting
5407.10.19,Other polyester fabrics <br> Bleached:
5407.10.21,Parachute fabric
5407.10.22,Tent fabrics
5407.10.23,Nylon furnishing fabrics
5407.10.24,Umbrella cloth panel fabrics
5407.10.25,Other nylon and polyamide fabrics of filament yarn
5407.10.26,Polyester suiting
5407.10.29,Other <br> Dyed:
5407.10.31,Parachute Fabrics
5407.10.32,Tent fabrics
5407.10.33,Nylon furnishing fabrics
5407.10.34,Umbrella cloth panel fabrics
5407.10.35,Other nylon and polyamide fabrics (filament)
5407.10.36,Polyester suiting
5407.10.39,Other <br> Printed:
5407.10.41,Parachute fabric
5407.10.42,Tent fabrics
5407.10.43,Nylon furnishing fabrics
5407.10.44,Umbrella cloth panel fabrics
5407.10.45,Other nylon and polyamide fabrics (filament)
5407.10.46,Polyester suiting
5407.10.49,Other <br> Other:
5407.10.91,Parachute fabrics
5407.10.92,Tent fabrics
5407.10.93,Nylon furnishing fabrics
5407.10.94,Umbrella cloth panel fabrics
5407.10.95,Other nylon and polyamide fabrics of filament yarn
5407.10.96,Polyester suiting
5407.10.99,Other
5407.20,woven fabrics obtained from strip or the like
5407.20.10,Unbleached
5407.20.20,Bleached
5407.20.30,Dyed
5407.20.40,Printed
5407.20.90,Other
5407.30,- Fabrics specified in Note 9 to Section XI
5407.30.10,Unbleached
5407.30.20,Bleached
5407.30.30,Dyed
5407.30.40,Printed
5407.41,Unbleached or Bleached
5407.41.11,Nylon brasso
5407.41.12,Nylon georgette
5407.41.13,Nylon tafetta
5407.41.14,Nylon sarees
5407.41.19,Other <br> Bleached:
5407.41.21,Nylon brasso
5407.41.22,Nylon georgette
5407.41.23,Nylon tafetta
5407.41.24,Nylon sarees
5407.41.29,Other
5407.42,Dyed
5407.42.10,Nylon brasso
5407.42.20,Nylon georgette
5407.42.30,Nylon tafetta
5407.42.40,Nylon sarees
5407.42.90,Other
5407.43,of yarns of different colours
5407.43.00,Of yarn of different colours
5407.44,Printed
5407.44.10,Nylon brasso
5407.44.20,Nylon georgette
5407.44.30,Nylon tafetta
5407.44.40,"Nylon sarees,"
5407.51,Unbleached or Bleached
5407.51.11,Polyester shirtings
5407.51.19,Other <br> Bleached:
5407.51.21,Polyester shirtings
5407.51.29,Other
5407.52,Dyed
5407.52.10,Polyester shirtings
5407.52.20,Polyester suitings
5407.52.30,Terylene and dacron sarees
5407.52.40,Polyester sarees
5407.52.90,Other
5407.53,of yarns of different colours
5407.53.00,Of yarns of different colours
5407.54,Printed
5407.54.10,Terylene and dacron sarees
5407.54.20,Polyester shirtings
5407.54.30,Polyester sarees
5407.61.10,Polyester shirtings
5407.61.20,Polyester suitings
5407.61.90,Other
5407.69,Other
5407.71,Unbleached or Bleached
5407.71.10,Unbleached
5407.71.20,Bleached
5407.72,Dyed
5407.72.00,Dyed
5407.73,of yarns of different colours
5407.73.00,Of yarns of different colours
5407.74,Printed
5407.74.00,Printed
5407.81,Unbleached or Bleached
5407.81.11,Nylon georgette
5407.81.12,Nylon sarees
5407.81.13,Polyester shirtings
5407.81.14,Polyester suitings
5407.81.15,Terylene and dacron sarees
5407.81.16,Polyester dhoti
5407.81.19,Other <br> Bleached:
5407.81.21,Nylon georgette
5407.81.22,Nylon sarees
5407.81.23,Polyester shirtings
5407.81.24,Polyester suitings
5407.81.25,Terylene and dacron sarees
5407.81.26,Polyester dhoti
5407.81.29,Other <br> Dyed
5407.82,Dyed
5407.82.10,Nylon georgette
5407.82.20,Nylon sarees
5407.82.30,Polyester shirtings
5407.82.40,Polyester suitings
5407.82.50,Terylene and dacron sarees
5407.82.60,Lungies
5407.82.90,Other
5407.83,of yarns of different colours
5407.83.00,Of yarns of different colours
5407.84,Printed
5407.84.10,Nylon georgette
5407.84.20,Nylon Sarees
5407.84.30,Polyester shirtings
5407.84.40,Polyester suitings
5407.84.50,Terylene and dacron sarees
5407.84.60,Lungies
5407.84.70,Polyester sarees
5407.84.90,Other <br> Other woven fabrics
5407.91,Unbleached or Bleached
5407.91.10,Unbleached
5407.91.20,Bleached
5407.92,Dyed
5407.92.00,Dyed
5407.93,of yarns of different colours
5407.93.00,Of yarns of different colours
5407.94,Printed
5407.94.00,Printed
5408.10,woven fabrics obtained from High tenacity yarn of viscose rayon
5408.10.00,Woven fabrics obtained from high tenacity yarn of viscose rayon
5408.21,Unbleached or Bleached
5408.21.10,Unbleached
5408.21.20,Bleached
5408.22,Dyed
5408.22.11,Rayon crepe fabrics
5408.22.12,Rayon jacquards
5408.22.13,Rayon broacades
5408.22.14,Rayon georgette
5408.22.15,Rayon tafetta
5408.22.16,Rayon suitings
5408.22.17,Rayon shirtings
5408.22.18,Rayon sarees
5408.22.19,Other
5408.22.20,"Fabrics of continuous filament, other than rayon"
5408.22.90,Other
5408.23,of yarns of different colours
5408.23.00,Of yarns of different colour
5408.24,Printed
5408.24.11,Rayon crepe fabrics
5408.24.12,Rayon jacquards
5408.24.13,Rayon broacades
5408.24.14,Rayon georgette
5408.24.15,Rayon tafetta
5408.24.16,Rayon suitings
5408.24.17,Rayon shirtings
5408.24.18,Rayon sarees -
5408.24.19,Other
5408.24.90,Other <br> Other woven fabrics:
5408.31,Unbleached or Bleached
5408.31.10,Unbleached
5408.31.20,Bleached
5408.32,Dyed
5408.32.11,Rayon broacades
5408.32.12,Rayon georgette
5408.32.13,Rayon tafetta
5408.32.14,Rayon suitings
5408.32.15,Rayon shirtings
5408.32.19,Other
5408.32.90,Other
5408.33,of yarns of different colours
5408.33.00,Of yarns of different colours
5408.34,Printed
5408.34.11,Rayon crepe fabrics
5408.34.12,Rayon jacquards
5408.34.13,Rayon broacades
5408.34.14,Rayon georgette
5408.34.15,Rayon tafetta
5408.34.16,Rayon suitings
5408.34.17,Rayon shirtings
5408.34.18,"Rayon sarees,"
5408.34.19,other
5408.34.20,"Fabrics of continuous filament, other than rayon"
5408.34.90,other
5501,Synthetic filament tow.
5501.10,of nylon or Other polyamides
5501.10.00,Of nylon or other polyamides
5501.20,of polyesters
5501.20.00,Of polyesters
5501.30,Acrylic or modacrylic
5501.30.00,Acrylic or modacrylic
5501.40,of polypropylene
5501.40.00,Of Polypropylene
5501.90,Other
5501.90.10,Of Polypropylene
5501.90.90,Other
5502,Artificial filament tow.
550210,Of cellulose acetate:
55021010,Viscose rayon tow
55021090,Other
550290,Other:
55029010,Viscose rayon tow
55029090,Other
5503.11,of aramids
5503.11.00,Of nylon or other polyamides: Of aramids
5503.19,Other
5503.19.00,Other
5503.20,of polyesters
5503.20.00,Of polyesters
5503.30,Acrylic or modacrylic
5503.30.00,Acrylic or modacrylic
5503.40,of polypropylene
5503.40.00,Of polypropylene
5503.90,Other
5503.90.10,Polyvinyl staple fibre
5503.90.20,Polyvinyl chloride staple fibre
5503.90.90,Other
5504.10,of viscose rayon
5504.10.00,Of viscose rayon
5504.90,Other
5504.90.10,Acetate rayon staple fibres
5504.90.20,Polynosic staple fibre
5504.90.30,High wet modulus staple fibre
5504.90.90,Other
5505.10,of synthetic fibres
5505.10.10,Of acrylic
5505.10.90,Other
5505.20,of artificial fibres
5505.20.00,Of artificial fibres
5506.10,of nylon or Other polyamides
5506.10.00,Of nylon or other polyamides
5506.20,of polyesters
5506.20.00,Of polyesters
5506.30,Acrylic or modacrylic
5506.30.00,Acrylic or modacrylic
55064000,Of polypropylene
5506.90,Other
5506.90.10,Polypropylene tops
5506.90.90,Other
5507.00.10,Acetate rayon tops
5507.00.20,Viscose tops
5507.00.30,Polynosic tops
5507.00.40,High wet modulus tops
5507.00.90,Other
5508.10,of synthetic staple fibres
5508.10.00,Of synthetic staple fibres
5508.20,of artificial staple fibres
5508.20.00,Of artificial staple fibres
5509.11,single yarn
5509.11.00,Single yarn
5509.12,Multiple (folded) or cabled yarn
5509.12.00,Multiple (folded) or cabled yarn
5509.21,single yarn
5509.21.00,Single yarn
5509.22,Multiple (folded) or cabled yarn
5509.22.00,Multiple (folded) or cabled yarn
5509.31,single yarn
5509.31.00,Single yarn
5509.32,Multiple (folded) or cabled yarn
5509.32.00,Multiple (folded) or cabled yarn
5509.41,single yarn
5509.41.10,Polypropylene spun yarn
5509.41.20,Polyvinyl acetate spun yarn
5509.41.30,Polyvinyl chloride spun yarn
5509.41.90,Other
5509.42,Multiple (folded) or cabled yarn
5509.42.10,Polypropylene spun yarn
5509.42.20,Poly Vinyl acetate (PVA) spun yarn
5509.42.30,Poly Vinyl Chloride (PVC) spun yarn
5509.42.90,"Other <br> Other yarn, of polyester staple fibres:"
5509.51,Mixed Mainly or solely with artificial staple fibres
5509.51.00,Mixed mainly or solely with artificial staple fibres
5509.52,Mixed Mainly or solely with wool or fine animal hair
5509.52.00,Mixed mainly or solely with wool or fine animal hair
5509.53,Mixed Mainly or solely with cotton
5509.53.00,Mixed mainly or solely with cotton
5509.59,Other
5509.59.00,"Other <br> Other yarn, of acrylic or modacrylic staple fibres:"
5509.61,Mixed Mainly or solely with wool or fine animal hair
5509.61.00,Mixed mainly or solely with wool or fine animal hair
5509.62,Mixed Mainly or solely with cotton
5509.62.00,Mixed mainly or solely with cotton
5509.69,Other
5509.69.00,Other <br> Other yarn:
5509.91,Mixed Mainly or solely with wool or fine animal hair
5509.91.00,Mixed mainly or solely with wool or fine animal hair
5509.92,Mixed Mainly or solely with cotton
5509.92.00,Mixed mainly or solely with cotton
5509.99,Other
5509.99.00,Other
5510.11,single yarn
5510.11.10,Viscose rayon spun yarn
5510.11.20,Acetate rayon spun yarn
5510.11.90,Other
5510.12,Multiple (folded) or cabled yarn
5510.12.10,Viscose rayon spun yarn
5510.12.20,Acetate rayon spun yarn
5510.12.90,Other
5510.20,"Other yarn, Mixed Mainly or solely with wool or fine animal hair"
5510.20.10,Viscose rayon spun yarn
5510.20.20,Acetate rayon spun yarn
5510.20.90,Other
5510.30,"Other yarn, Mixed Mainly or solely with cotton"
5510.30.10,Viscose rayon spun yarn
5510.30.20,Acetate rayon spun yarn
5510.30.90,Other
5510.90,Other yarn
5510.90.10,Viscose rayon spun yarn
5510.90.20,Acetate rayon spun yarn
5510.90.90,Other
5511.10.00,"Of synthetic staple fibres, containing 85% or more by weight of such fibres"
5511.30,of artificial staple fibres
5511.30.10,Containing more than 85% by weight of staple fibre
5511.30.90,Other
5512.11,Unbleached or Bleached
5512.11.10,Unbleached
5512.11.20,Bleached
5512.19,Other
5512.19.10,Dyed
5512.19.20,Printed
5512.21,Unbleached or Bleached
5512.21.10,Unbleached
5512.21.20,Bleached
5512.29,Other
5512.29.10,Dyed
5512.29.20,Printed
5512.29.90,Other <br> Other:
5512.91,Unbleached or Bleached
5512.91.10,Unbleached
5512.91.20,Bleached
5512.99,Other
5512.99.10,Dyed
5512.9920,Printed woven fabrics
5512.9990,other
5513,"by weight of such fibres, mixed mainly or solely with cotton, of a"
551311,"Of polyester staple fibres, plain weave:"
55131110,Unbleached
55131120,Bleached
5513.12.10,Unbleached
5513.12.20,Bleached
5513.13,Other woven fabrics of polyester staple fibres
5513.13.10,Unbleached
5513.13.20,Bleached
5513.19,Other woven fabrics
5513.19.10,Unbleached
5513.19.20,Bleached
5513.21,"of polyester staple fibres, Plain weave"
5513.21.00,"Of polyester staple fibres, plain weave"
5513.23.00,Other woven fabrics of polyester staple fibres
5513.29.00,Other woven fabrics
5513.31.00,"Of polyester staple fibres, plain weave"
5513.39.00,Other woven fabrics
5513.41.00,"Of polyester staple fibres, plain weave"
5513.49.00,Other woven fabrics
5514,"by weight of such fibres, mixed mainly or solely with cotton, of a"
5514.11,"of polyester staple fibres, Plain weave"
5514.11.10,Unbleached
5514.11.20,Bleached
5514.12.10,Unbleached
5514.12.20,Bleached
5514.19,Other woven fabrics
5514.19.10,Unbleached
5514.19.20,Bleached <br> dyed
5514.21,"of polyester staple fibres, Plain weave"
5514.21.00,"Of polyester staple fibres, plain weave"
5514.23.00,Other woven fabrics of polyester staple fibres
5514.29.00,Other woven fabrics
5514.30,of yarns of different colours
5514.30.11,"of polyester staple fibres, Plain weave"
5514.30.12,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres"
5514.30.13,Other woven fabrics of polyester staple fibres
5514.30.19,Other woven fabrics <br> Printed
5514.41.00,"of polyester staple fibres, Plain weave"
5514.42.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres"
5514.43,Other woven fabrics of polyester staple fibres
5514.43.00,Other woven fabrics of polyester staple fibres
5514.49,Other woven fabrics
5514.49.00,Other woven fabrics
5515,Other woven fabrics of synthetic staple fibres.
5515.11,Mixed Mainly or solely with viscose rayon staple fibres
5515.11.10,Unbleached
5515.11.20,Bleached
5515.11.30,Dyed
5515.11.40,Printed
5515.11.90,Other
5515.12,Mixed Mainly or solely with man-made filaments
5515.12.10,Unbleached
5515.12.20,Bleached
5515.12.30,Dyed
5515.12.40,Printed
5515.12.90,Other
5515.13,Mixed Mainly or solely with wool or fine animal hair
5515.13.10,Unbleached
5515.13.20,Bleached
5515.13.30,Dyed
5515.13.40,Printed
5515.13.90,Other
5515.19,Other
5515.19.10,Unbleached
5515.19.20,Bleached
5515.19.30,Dyed
5515.19.40,Printed
5515.19.90,Other <br> Of acrylic or modacrylic staple fibres
5515.21,Mixed Mainly or solely with man-made filaments
5515.21.10,Unbleached
5515.21.20,Bleached
5515.21.30,Dyed
5515.21.40,Printed
5515.21.90,Other
5515.22,Mixed Mainly or solely with wool or fine animal hair
5515.22.10,Unbleached
5515.22.20,Bleached
5515.22.30,Dyed
5515.22.40,Printed
5515.22.90,Other
5515.29,Other
5515.29.10,Unbleached
5515.29.20,Bleached
5515.29.30,Dyed
5515.29.40,Printed
5515.29.90,Other <br> Other woven fabrics :
5515.91,Mixed Mainly or solely with man-made filaments
5515.91.10,Unbleached
5515.91.20,Bleached
5515.91.30,Dyed
5515.91.40,Printed
5515.91.90,Other :
5515.99,Other
5515.99.10,Unbleached
5515.99.20,Bleached
5515.99.30,Dyed
5515.99.40,Printed
5515.99.90,Other
5516,Woven fabrics of artificial staple fibres.
5516.11,Unbleached or Bleached
5516.11.10,Unbleached
5516.11.20,Bleached
5516.12,Dyed
5516.12.00,Dyed
5516.13,of yarns of different colours
5516.13.00,Of yarns of different colours
5516.14,Printed
5516.14.10,Spun rayon printed shantung
5516.14.20,Spun rayon printed linen
5516.21,Unbleached or Bleached
5516.21.10,Unbleached
5516.21.20,Bleached
5516.22,Dyed
5516.22.00,Dyed :
5516.23,of yarns of different colours
5516.23.00,Of yarns of different colours
5516.24,Printed
5516.31,Unbleached or Bleached
5516.31.10,Unbleached
5516.31.20,Bleached
5516.32,Dyed
5516.32.00,Dyed
5516.33,of yarns of different colours
5516.33.00,Of yarns of different colours
5516.34,Printed
5516.41,Unbleached or Bleached
5516.41.10,Unbleached
5516.41.20,Bleached
5516.42,Dyed
5516.42.00,Dyed
5516.43,of yarns of different colours
5516.43.00,Of yarns of different colours
5516.44,Printed
5516.44.00,Printed <br> Others
5516.91,Unbleached or Bleached
5516.91.10,Unbleached
5516.91.20,Bleached
5516.92,Dyed
5516.92.00,Dyed
5516.93,of yarns of different colours
5516.93.00,Of yarns of different colours
5516.94,Printed
5516.94.00,Printed
5601,"(FLOCK), TEXTILE DUST AND MILL NEPS Wadding of textile"
560121,Of cotton:”;
5601.21.10,Absorbent cotton wool
5601.21.90,Other
5601.22,of man-made fibres
5601.22.00,Of man-made fibres
5601.29,Other
5601.29.00,Other
5601.30,textile flock and dust and mill neps
5601.30.00,Textile flock and dust and mill neps
5602,"Felt, whether or not impregnated, coated, covered or laminated."
5602.10,Needleloom felt and stitch-bonded fibre fabrics
5602.10.00,Needleloom felt and stitch-bonded fibre fabrics
5602.21.00,Of wool or fine animal hair
5602.29,- of Other textile materials
5602.29.10,Of machines other than cotton machinery
5602.29.20,"Of jute (including blanded or union jute), other than for machinery."
5602.29.90,Other
5602.90,- Other
5602.90.10,"Of Rubberised coir, needled felt"
5602.90.90,Other
5603.11,-- Weighing not more than 25 g/m²
5603.11.00,Weighing not more than 25 g/m2
5603.12,-- Weighing more than 25 g/m² but not more than 70 g/m²
5603.12.00,Weighing more than 25 g/m2 but not more than 70 g/m2
5603.13,-- Weighing more than 70 g/m² but not more than 150 g/m²
5603.13.00,Weighing more than 70 g/m2 but not more than 150 g/m2
5603.14,-- Weighing more than 150 g/m²
5603.14.00,Weighing more than 150 g/m2 <br> Other :
5603.91,-- Weighing not more than 25 g/m²
5603.91.00,Weighing not more than 25 g/m2 :
5603.92,-- Weighing more than 25 g/m² but not more than 70 g/m²
5603.92.00,Weighing more than 25 g/m2 but not more than 70 g/m2
5603.93,-- Weighing more than 70 g/m² but not more than 150 g/m²
5603.93.00,Weighing more than 70 g/m2 but not more than 150 g/m2
5603.94,-- Weighing more than 150 g/m²
5603.94.00,Weighing more than 150 g/m2
5604,"the like of heading 5404 or 5405, impregnated, coated, covered or"
5604.10,"rubber thread and cord, textile Covered"
5604.10.00,"Rubber thread and cord, textile covered"
5604.90,Other
5604.90.00,OTHER
5605,"the like of heading 5404 or 5405, combined with metal in the form of"
5605.00,"the like of heading 5404 or 5405, combined with metal in the form of"
5605.00.10,"Real zari thread (gold) and silver thread, combined with textile thread)"
5605.00.20,Imitation zari thread
5605.00.90,Other
5606,(other than those of heading 5605 and gimped horsehair yarn);
5606.00,(other than those of heading 5605 and gimped horsehair yarn);
5606.00.10,"Trimmings, of cotton"
5606.00.20,"Trimmings, of man-made fibres"
5606.00.30,"Trimmings, of zari"
5606.00.90,Other
5607,"and whether or not impregnated, coated, covered or sheathed with"
5607.21,Binder or baler twine
5607.21.00,Binder or baler twine
5607.29,Other
5607.29.00,Other
5607.41,Binder or baler twine
5607.41.00,Binder or baler twine
5607.49,Other
5607.49.00,Other <br> Of polyethylene or polypropylene:
5607.50,of Other synthetic fibres
5607.50.10,Nylon fish net twine
5607.50.20,Nylon tyre cord
5607.50.30,Viscose tyre cord
5607.50.40,Nylon rope
5607.50.90,Other
5607.90,Other
5607.90.10,"Coir, cordage and ropes, other than of cotton"
5607.90.20,"Cordage, cable ropes and twine, of cotton"
5607.90.90,OTHER
5608.11,made up fishing nets
5608.11.10,Made up fishing nets of nylon
5608.11.90,Other
5608.19,Other
5608.19.00,Other
5608.90,Other
5608.90.10,Of cotton
5608.90.20,Of jute
5608.90.90,Other
5609.00.10,Products of coir
5609.00.20,Articles made up of cotton yarn
5609.00.30,Articles made up of jute
5609.00.90,Other
5701.10,of wool or fine animal hair
5701.10.00,Of wool or fine animal hair
5701.90,of Other textile materials
5701.90.10,Of cotton
5701.90.90,Other
5702,"flocked, whether or not made up, including “Kelem”, “Schumacks”,"
5702.10,"“Kelem”, “Schumacks”, “Karamanie” and similar Hand-woven rugs"
5702.10.00,"Kelem, Schumacks, Karamanie and similar hand-woven rugs"
5702.20,Floor coverings of coconut fibres (Coir)
5702.20.10,"Coir matting, woven"
5702.20.20,Coir carpets and other rugs
5702.20.90,"Other <br> Other, of pile construction, not made up:"
5702.31,of wool or fine animal hair
5702.31.10,Carpets
5702.31.20,Druggets
5702.31.30,Mats and matting
5702.31.40,"Carpeting , floor rugs and the like"
5702.31.90,Other
5702.32,of man-made textile materials
5702.32.10,"Carpets, carpeting and rugs the like"
5702.32.20,Mats and matting
5702.32.90,Other
5702.39,of Other textile materials
5702.39.10,Carpets and other floor coverings other than durries of cotton
5702.41,of wool or fine animal hair
5702.41.10,Carpets
5702.41.20,Druggets
5702.41.30,Mats and matting
5702.41.90,Other
5702.42,of man-made textile materials
5702.42.10,"Carpets, carpeting and rugs"
5702.42.20,Mats and mattings
57024230,"Carpets, rugs and mats of handloom"
5702.42.90,Other
5702.49,of Other textile materials
5702.49.10,Carpets and other floor coverings other than durries of cotton
5702.49.20,"Carpets and other floor coverings, of silk"
5702.49.90,Other
5702.50,"Other, Not of pile construction, Not made up"
5702.50.22,Mats and matting
5702.50.29,Other <br> Of other textile material
5702.50.32,"Carpets and other floor coverings, of silk"
5702.50.33,Place mat and other similar goods
5702.50.39,"Other <br> Other, not of pile construction, made up:"
5702.91,of wool or fine animal hair
5702.91.10,Carpets
5702.91.20,Druggets
5702.91.30,Mats and matting
5702.91.90,Other
5702.92,of man-made textile materials
5702.92.10,"Carpets, carpeting and rugs"
5702.92.20,Mats and mattings
5702.92.90,Other
5702.99,of Other textile materials
5702.99.10,"Carpets and other floor coverings, of cotton other than durries"
5702.99.20,"Carpets and other floor coverings, of silk"
5702.99.90,Other
5703.10,of wool or fine animal hair
5703.10.10,Carpets
5703.10.20,Mats and matting
5703.10.90,Other
5703.20,of nylon or Other polyamides
5703.20.10,"Carpets, carpeting and rugs"
5703.20.90,Other
5703.30,of Other man-made textile materials
5703.30.10,"Carpets, carpeting & rugs"
5703.30.90,Other
5703.90,of Other textile materials
5703.90.10,"Carpets and other floor coverings, of cotton, other than durries"
57039020,Carpets and floor coverings of Coir
5703.90.90,Other
5704.10,"- Tiles, having a maximum surface area of 0.3 m²"
5704.10.00,"Tiles, having a maximum surface area of 0 3 m2"
5704,20
57042010,Cotton
57042020,"Woollen, other than artware"
57042090,Other
5704.90,Other
5704.90.10,cotton
5704.90.20,"woollen , other than artware"
5704.90.90,Others
5705.00.11,Of silk
5705.00.19,Other <br> Durries :
5705.00.21,Durries cotton
5705.00.22,Durries of man made fibres
5705.00.23,Durries of wool
570500,24
5705.00.29,Other <br> Of jute
5705.00.31,Of blended jute
5705.00.32,of coir jute
5705.00.39,"Other <br> Carpets , carpeting , rugs , mats and <br> mattings :"
5705.00.41,Other than knitted
570500,42
5705.00.49,Other
5705.00.90,Other
5801.10.00,Of wool or fine animal hair
5801.21.00,Uncut weft pile fabrics
5801.22,cut corduroy
5801.22.10,Soley of cotton
5801.22.90,Other
5801.23.00,Other weft pile fabrics
5801.26.00,Chenille fabrics
580127,Warp pile fabrics:
58012710,"Warp pile fabrics, epingle (uncut)"
58012720,"Warp pile fabrics, cut"
5801.2790,Other
5801.31.00,Uncut weft pile fabrics
5801.32.00,Cut corduroy
5801.33.00,Other weft pile fabrics
5801.36,Chenille fabrics
5801.36.10,Carduroys
5801.36.90,Other
580137,Warp pile fabrics:
58013711,Velvet
58013719,Other
58013720,"Warp pile fabrics, cut"
58013790,Other
5801.90,of Other textile materials
5801.90.90,Pile fabrics and chenille fabrics not elsewhere specified or included
5802,"fabrics of heading 5806; tufted textile fabrics, other than products of"
5802.11,Unbleached
5802.11.00,Unbleached
5802.19,Other
5802.19.10,Bleached
5802.19.20,Piece dyed
5802.19.30,Yarn dyed
5802.19.40,Printed
5802.19.90,Other
5802.20.00,"Terry towelling and similar woven terry fabrics, of other textile materials"
5802.30,Tufted textile fabrics
5802.30.00,Tufted textile fabrics
5803,"Gauze, other than narrow fabrics of heading 5806."
5803.00,"Gauze, other than narrow fabrics of heading 5806."
5803.00.11,Unbleached
5803.00.12,Bleached
5803.00.13,Piece dyed
5803.00.14,Yarn dyed
5803.00.15,Printed
5803.00.19,Other <br> Of other textile materials
5803.00.91,Of other textile materials:Of silk or silk waste
5803.00.92,Of synthetic fibre
5803.00.93,Of artificial fibre
5803.00.99,Other
5804,"crocheted fabrics; lace in the piece, in strips or in motifs, other than"
5804.10,Tulles and Other net fabrics
5804.10.10,Of cotton
5804.10.90,Other <br> Mechanically made lace:
5804.21,of man-made fibres
5804.21.00,Of man-made fibres
5804.29,of Other textile materials
5804.29.10,Of cotton
5804.29.90,Other
5804.30,Hand-made lace
5804.30.00,Hand-made lace
5805,"Beauvais and the like, and needle-worked tapestries (for example,"
5805.00,"Beauvais and the like, and needle-worked tapestries (for example,"
5805.00.10,"Tapestries hand made or needle worked by hand, of cotton"
5805.00.20,Tapestries of jute
5805.00.90,Other
5806,fabrics consisting of warp without weft assembled by means of an
5806.31,of cotton
5806.31.10,Typewriter ribbon cloth
5806.31.20,Newar cotton
5806.31.90,Other
5806.32,of man-made fibres
5806.32.00,Of man-made fibres
5806.39,of Other textile materials
5806.39.10,Goat hair puttis tape
5806.39.20,Jute webbing
5806.39.30,Other narrow fabrics of jute
5806.39.90,Other
5807.10,woven
5807.10.10,Of cotton
5807.10.20,Of man made fibre
5807.10.90,Other
5807.90,Other
5807.90.10,Of felt or non-wovens
5807.90.90,Other
5808,"embroidery, other than knitted or crocheted; tassels, pompons and"
5808.10,Braids in the piece
5808.10.10,Of cotton
5808.10.90,Other
5808.90,Other
5808.90.10,"Tapes, ornamental or cotton"
5808.90.20,Hair band of narrow fabrics
5808.90.30,Other braids
5808.90.40,Ribbons of rayon with ornamental trimmings
5808.90.50,"Saree falls, borders (other than zari), frings of cotton"
5808.90.60,"Saree falls, borders (Other than zari), frings of man-made fibre"
5808.90.90,Other
5809,"of heading 5605, of a kind used in apparel, as furnishing fabrics or"
5809.00,"of heading 5605, of a kind used in apparel, as furnishing fabrics or"
5809.00.10,Zari borders
5809.00.90,Other
5810,"Embroidery in the piece, in strips or in motifs."
5810.10,Embroidery without visible ground
5810.10.00,Embroidery without visible ground <br> Other Embroidery
5810.91,of cotton
5810.91.00,Of cotton
5810.92,of man-made fibres
5810.92.10,"Embroidered badges, motifs and the like"
5810.92.90,Other
5810.99,of Other textile materials
5810.99.00,Of other textile materials
5811,layers of textile materials assembled with padding by stitching or
5811.00,layers of textile materials assembled with padding by stitching or
5811.00.20,Quilted wadding
5811.00.90,Other
5901.10.10,Of cotton
5901.10.20,Prepared painting canvas
5901.10.90,Other
5901.90,Other
5901.90.10,Tracing cloth of cotton
5901.90.20,"Varnished cambric fabrics (Empire fabrics) tapes, etc."
5901.90.90,Other
5902.10,of nylon or Other polyamides
5902.10.10,Impregnated with rubber
5902.10.90,Other
5902.20,of polyesters
5902.20.10,Impregnated with rubber
5902.20.90,Other
5902.90,Other
